global_attempt_index,log_file,device_model,session_name,scan_session_index,attempt_index,expected_token,ms_since_inrange,baro_ms,ultra_ms,ultra_token,ultra_conf,audio_ms,audio_cosine,dsvf_ms,fusion_score,status,total_verify_ms,attendance_marked_ms,attendance_status,marked,ultrasound_mode,ultra_detected,ultra_match
1,report_20260407_112902_student_1234.json,I2126,1234,1,1,2,13.0,2.0,4221.0,-1.0,0.0,2239.0,0.921,4.0,0.61,FLAGGED,6485.0,10779.0,FLAGGED,True,timeout_or_absent,False,False
2,report_20260407_112902_student_1234.json,I2126,1234,2,1,2,5.0,1.0,4274.0,-1.0,0.0,2230.0,0.811,3.0,0.48,REJECTED_SCORE,6525.0,,,False,timeout_or_absent,False,False
3,report_20260407_112902_student_1234.json,I2126,1234,2,2,2,6616.0,1.0,4279.0,-1.0,0.0,2230.0,0.704,3.0,0.49,REJECTED_SCORE,6530.0,,,False,timeout_or_absent,False,False
4,report_20260407_112902_student_1234.json,I2126,1234,2,3,2,13684.0,2.0,4287.0,-1.0,0.0,2244.0,0.659,2.0,0.36,REJECTED_SCORE,6550.0,,,False,timeout_or_absent,False,False
5,report_20260407_112902_student_1234.json,I2126,1234,2,4,2,20534.0,2.0,4282.0,-1.0,0.0,2236.0,0.839,2.0,0.43,REJECTED_SCORE,6535.0,,,False,timeout_or_absent,False,False
6,report_20260407_112902_student_1234.json,I2126,1234,2,5,2,27879.0,3.0,4285.0,-1.0,0.0,2268.0,0.861,3.0,0.48,REJECTED_SCORE,6580.0,,,False,timeout_or_absent,False,False
7,report_20260407_112902_student_1234.json,I2126,1234,2,6,2,35135.0,2.0,4265.0,-1.0,0.0,2259.0,0.777,3.0,0.37,REJECTED_SCORE,6545.0,,,False,timeout_or_absent,False,False
8,report_20260407_112902_student_1234.json,I2126,1234,2,7,2,50307.0,1.0,1477.0,2.0,1.0,2269.0,0.891,2.0,0.83,PRESENT,3764.0,54193.0,PRESENT,True,matched_token,True,True
9,report_20260407_114459_student_cs101.json (1),V2518,cs101,1,1,2,13.0,1.0,4343.0,-1.0,0.0,2514.0,0.915,1.0,0.64,FLAGGED,6869.0,7081.0,FLAGGED,True,timeout_or_absent,False,False
10,report_20260407_114459_student_cs101.json (1),V2518,cs101,2,1,2,4.0,0.0,3068.0,11.0,1.0,2524.0,0.751,1.0,0.0,REJECTED_ROOM,5601.0,,,False,mismatched_token,True,False
11,report_20260407_114459_student_cs101.json (1),V2518,cs101,3,1,2,2.0,1.0,2783.0,2.0,0.69,2542.0,0.902,2.0,0.67,FLAGGED,5338.0,5658.0,FLAGGED,True,matched_token,True,True
12,report_20260407_114459_student_cs101.json (1),V2518,cs101,4,1,2,26.0,1.0,4462.0,-1.0,0.0,2527.0,0.42,2.0,0.43,REJECTED_SCORE,7007.0,,,False,timeout_or_absent,False,False
13,report_20260407_114459_student_cs101.json (1),V2518,cs101,4,2,2,7214.0,1.0,4336.0,-1.0,0.0,2502.0,0.851,1.0,0.65,FLAGGED,6849.0,14827.0,FLAGGED,True,timeout_or_absent,False,False
14,report_20260407_114459_student_cs101.json (1),V2518,cs101,5,1,2,8.0,1.0,4372.0,-1.0,0.0,2477.0,0.974,1.0,0.27,REJECTED_SCORE,6860.0,,,False,timeout_or_absent,False,False
15,report_20260407_114459_student_cs101.json (1),V2518,cs101,5,2,2,7296.0,1.0,4355.0,-1.0,0.0,2503.0,0.599,4.0,0.53,REJECTED_SCORE,6875.0,,,False,timeout_or_absent,False,False
16,report_20260407_114459_student_cs101.json (1),V2518,cs101,5,3,2,15467.0,1.0,4370.0,-1.0,0.0,2513.0,0.451,1.0,0.55,FLAGGED,6896.0,25213.0,FLAGGED,True,timeout_or_absent,False,False
